""-[: = ?
[/-&[ = -@"
/[-&" = [/
The question is #?+'"

Operator symbols -
Question operator symbol +
Question operator not in examples

Digit symbols "[:?/&@#'

Checking concatenation
left "" op - right [: expected ""[: versus ? mismatch
left [/ op - right &[ expected [/&[ versus -@" mismatch
left /[ op - right &" expected /[&" versus [/ mismatch

Question operator + is not concatenation

Checking reverse concatenation
left "" op - right [: expected [:"" versus ? mismatch
left [/ op - right &[ expected &[[/ versus -@" mismatch
left /[ op - right &" expected &"/[ versus [/ mismatch

Question operator + is not reverse concatenation

Filtering out the concatenation operations
""-[: = ?
[/-&[ = -@"
/[-&" = [/

Assigning mul
 left "" op - right [: = ? length 1
 left [/ op - right &[ = -@" length 3
 left /[ op - right &" = [/ length 2

Assigning sub
 left "" op - right [: = ? length 1
 left [/ op - right &[ = -@" op in output assume sub
 left /[ op - right &" = [/ assumed sub

Assigning add
 left "" op - right [: = ? assumed sub
 left [/ op - right &[ = -@" assumed sub
 left /[ op - right &" = [/ assumed sub

Assigning remainder
 add is not assigned, assigning remainder as add
 left "" op - right [: = ? assumed sub
 left [/ op - right &[ = -@" assumed sub
 left /[ op - right &" = [/ assumed sub
 left #? op + right '" the question, operator not in the examples

Trying "=1 [=2 :=3 ?=4 /=5 &=6 @=7 #=8 '=9 A=0
""-[: = 11 sub 23 = 12 vs ? 4 diff 8 sub no; 11 sub 32 = 21 vs rev ? 4 diff 17 sub no
 rejected none #?+'" = 84 add 91 rev 48 add 19 = 67 rev 76 = final answer: @&

Trying "=0 [=1 :=2 ?=3 /=4 &=5 @=6 #=7 '=9 A=8
""-[: = 00 sub 12 = 12 vs ? 3 diff 9 sub no; 00 sub 21 = 21 vs rev ? 3 diff 18 sub no
 rejected none #?+'" = 73 add 90 rev 37 add 09 = 46 rev 64 = final answer: @/

Trying "=8 [=0 :=1 ?=4 /=5 &=6 @=7 #=3 '=9 A=2
""-[: = 88 sub 01 = 87 vs ? 4 diff 83 sub no; 88 sub 10 = 78 vs rev ? 4 diff 74 sub no
 rejected none #?+'" = 34 add 98 rev 43 add 89 = 132 rev 231 = final answer: A#:

Trying "=5 [=8 :=0 ?=4 /=1 &=6 @=7 #=3 '=9 A=2
""-[: = 55 sub 80 = 25 vs ? 4 diff 21 sub no; 55 sub 08 = 47 vs rev ? 4 diff 43 sub no
 rejected none #?+'" = 34 add 95 rev 43 add 59 = 102 rev 201 = final answer: A:/

Trying "=9 [=5 :=8 ?=4 /=1 &=6 @=7 #=3 '=0 A=2
""-[: = 99 sub 58 = 41 vs ? 4 diff 37 sub no; 99 sub 85 = 14 vs rev ? 4 diff 10 sub no
 rejected none #?+'" = 34 add 09 rev 43 add 90 = 133 rev 331 = final answer: ##/

Trying "=1 [=2 :=3 ?=4 /=5 &=6 @=7 #=8 '=9 A=0
""-[: = 11 sub 23 = 12 vs ? 4 diff 8 sub no; 11 sub 32 = 21 vs rev ? 4 diff 17 sub no
 rejected none #?+'" = 84 add 91 rev 48 add 19 = 67 rev 76 = final answer: @&

Trying "=0 [=1 :=2 ?=3 /=4 &=5 @=6 #=7 '=9 A=8
""-[: = 00 sub 12 = 12 vs ? 3 diff 9 sub no; 00 sub 21 = 21 vs rev ? 3 diff 18 sub no
 rejected none #?+'" = 73 add 90 rev 37 add 09 = 46 rev 64 = final answer: @/

Trying "=8 [=0 :=1 ?=4 /=5 &=6 @=7 #=3 '=9 A=2
""-[: = 88 sub 01 = 87 vs ? 4 diff 83 sub no; 88 sub 10 = 78 vs rev ? 4 diff 74 sub no
 rejected none #?+'" = 34 add 98 rev 43 add 89 = 132 rev 231 = final answer: A#:

Trying "=5 [=8 :=0 ?=4 /=1 &=6 @=7 #=3 '=9 A=2
""-[: = 55 sub 80 = 25 vs ? 4 diff 21 sub no; 55 sub 08 = 47 vs rev ? 4 diff 43 sub no
 rejected none #?+'" = 34 add 95 rev 43 add 59 = 102 rev 201 = final answer: A:/

Trying "=9 [=5 :=8 ?=4 /=1 &=6 @=7 #=3 '=0 A=2
""-[: = 99 sub 58 = 41 vs ? 4 diff 37 sub no; 99 sub 85 = 14 vs rev ? 4 diff 10 sub no
 rejected none #?+'" = 34 add 09 rev 43 add 90 = 133 rev 331 = final answer: ##/

Trying "=1 [=2 :=3 ?=4 /=5 &=6 @=7 #=8 '=9 A=0
""-[: = 11 sub 23 = 12 vs ? 4 diff 8 sub no; 11 sub 32 = 21 vs rev ? 4 diff 17 sub no
 rejected none #?+'" = 84 add 91 rev 48 add 19 = 67 rev 76 = final answer: @&

Trying "=0 [=1 :=2 ?=3 /=4 &=5 @=6 #=7 '=9 A=8
""-[: = 00 sub 12 = 12 vs ? 3 diff 9 sub no; 00 sub 21 = 21 vs rev ? 3 diff 18 sub no
 rejected none #?+'" = 73 add 90 rev 37 add 09 = 46 rev 64 = final answer: @/

Trying "=8 [=0 :=1 ?=4 /=5 &=6 @=7 #=3 '=9 A=2
""-[: = 88 sub 01 = 87 vs ? 4 diff 83 sub no; 88 sub 10 = 78 vs rev ? 4 diff 74 sub no
 rejected none #?+'" = 34 add 98 rev 43 add 89 = 132 rev 231 = final answer: A#:

Trying "=5 [=8 :=0 ?=4 /=1 &=6 @=7 #=3 '=9 A=2
""-[: = 55 sub 80 = 25 vs ? 4 diff 21 sub no; 55 sub 08 = 47 vs rev ? 4 diff 43 sub no
 rejected none #?+'" = 34 add 95 rev 43 add 59 = 102 rev 201 = final answer: A:/

Trying "=9 [=5 :=8 ?=4 /=1 &=6 @=7 #=3 '=0 A=2
""-[: = 99 sub 58 = 41 vs ? 4 diff 37 sub no; 99 sub 85 = 14 vs rev ? 4 diff 10 sub no
 rejected none #?+'" = 34 add 09 rev 43 add 90 = 133 rev 331 = final answer: ##/

